codigo_newave;id_cobre;nome_usina;grupo;variavel;periodo;unidade;valor_newave;valor_cobre;diferenca_absoluta;tolerancia;tipo_esperado;tipo_cobre;resultado;detalhe
1;0.0;CAMARGOS;Cadastro do reservatório;VMAX;;hm³;792.0;792.0;0.0;0.5;;;Coincidente;
1;0.0;CAMARGOS;Cadastro do reservatório;VMIN;;hm³;120.0;120.0;0.0;0.5;;;Coincidente;
1;0.0;CAMARGOS;Canal de fuga;CFMED;;m;885.7;885.7290649414062;0.029064941406204525;0.051;;;Coincidente;
1;0.0;CAMARGOS;Evaporação;Coeficiente de evaporação;ABR;mm/mês;40.0;40.0;0.0;0.0;;;Coincidente;
1;0.0;CAMARGOS;Evaporação;Coeficiente de evaporação;AGO;mm/mês;23.0;23.0;0.0;0.0;;;Coincidente;
1;0.0;CAMARGOS;Evaporação;Coeficiente de evaporação;DEZ;mm/mês;7.0;7.0;0.0;0.0;;;Coincidente;
1;0.0;CAMARGOS;Evaporação;Coeficiente de evaporação;FEV;mm/mês;2.0;2.0;0.0;0.0;;;Coincidente;
1;0.0;CAMARGOS;Evaporação;Coeficiente de evaporação;JAN;mm/mês;0.0;0.0;0.0;0.0;;;Coincidente;
1;0.0;CAMARGOS;Evaporação;Coeficiente de evaporação;JUL;mm/mês;32.0;32.0;0.0;0.0;;;Coincidente;
1;0.0;CAMARGOS;Evaporação;Coeficiente de evaporação;JUN;mm/mês;46.0;46.0;0.0;0.0;;;Coincidente;
1;0.0;CAMARGOS;Evaporação;Coeficiente de evaporação;MAI;mm/mês;51.0;51.0;0.0;0.0;;;Coincidente;
1;0.0;CAMARGOS;Evaporação;Coeficiente de evaporação;MAR;mm/mês;29.0;29.0;0.0;0.0;;;Coincidente;
1;0.0;CAMARGOS;Evaporação;Coeficiente de evaporação;NOV;mm/mês;4.0;4.0;0.0;0.0;;;Coincidente;
1;0.0;CAMARGOS;Evaporação;Coeficiente de evaporação;OUT;mm/mês;15.0;15.0;0.0;0.0;;;Coincidente;
1;0.0;CAMARGOS;Evaporação;Coeficiente de evaporação;SET;mm/mês;24.0;24.0;0.0;0.0;;;Coincidente;
